note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,user_id,nickname,gender,profile_url,avatar,source_keyword
5.24174E+15,帮我介绍健身教练的高中同学，她高考后为了读幼教专业，走关系加花钱，大概五万吧，姑姑是高校老师，所以专业考不好算什么，都是有门路的，张雪峰你不行啊 不过幼儿园都关门潮了，幼教真的好吗……这是我对上一条的具体体会。我也知道幼教在机关学校（不是普通人读书那种） 收好多家长礼的，难进 ...全文,1765240312,2025-12-09 00:31:52+08:00,0,0,0,1.76522E+12,https://m.weibo.cn/detail/5241739360338072,江苏,1824678742,折叠光,m,https://m.weibo.cn/u/1824678742?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.896.896.180/6cc26356ly8hmyntb2x89j20ow0owdhr.jpg?KID=imgbed,tva&Expires=1765228011&ssig=3cLb9AvB6G",张雪峰 专业
5.2417E+15,#多校撤销外语专业# 这是AI带来的时代变革，有些高校将原有外语专业，更名为新专业，如英美文学、法律英语、国际传播等，并推进与计算机、AI的交叉复合，如培养英文+计算机技术的双学位。这种调整究竟是为传统专业换上“新马甲”以吸引生源，还是真正推进课程重构与培养模式改革，仍需观察与审视。 ...全文,1765230038,2025-12-08 21:40:38+08:00,25,2,0,1.76522E+12,https://m.weibo.cn/detail/5241696264915407,上海,2511656610,硬核豌豆,f,https://m.weibo.cn/u/2511656610?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/95b4d6a2gy1hxw1dvq7nij20u00u00w4.jpg?KID=imgbed,tva&Expires=1765228011&ssig=iQDOlen%2BQ1",张雪峰 专业
5.2417E+15,张雪峰  复旦女大学生直播间发出不雅声音，张雪峰直播开怼！ 毛豆拌黄瓜的微博视频 ,1765231664,2025-12-08 22:07:44+08:00,16,8,7,1.76522E+12,https://m.weibo.cn/detail/5241703084068563,湖北,5640303290,毛豆拌黄瓜,f,https://m.weibo.cn/u/5640303290?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/0069I8xIly8hoyroajz77j30u00u0juf.jpg?KID=imgbed,tva&Expires=1765228011&ssig=n33O8h0iZq",张雪峰 专业
5.2417E+15,#多校撤销外语专业#虽然张雪峰被处罚了，但是拿他的言论发博能不能带原视频？？？他的直播是没有字幕的，随便p个文字上去跟鲁迅说过的话有什么区别 ,1765230012,2025-12-08 21:40:12+08:00,0,0,0,1.76522E+12,https://m.weibo.cn/detail/5241696154552174,浙江,7261076042,迂鱼雨浴,f,https://m.weibo.cn/u/7261076042?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/007VoJzIly8ht5clmcqcdj30u00u00ye.jpg?KID=imgbed,tva&Expires=1765228011&ssig=9bsAdPM4lw",张雪峰 专业
5.24168E+15,看张雪峰说考古专业简直就是两眼一黑…在土地里埋个四边形三角形就能测出一个人学考古是否合适…所以在他的认知里考古就简单地等同于挖土 太滑稽了。 ,1765226528,2025-12-08 20:42:08+08:00,1,0,0,1.76522E+12,https://m.weibo.cn/detail/5241681542122091,浙江,3293823155,_____cannibals,f,https://m.weibo.cn/u/3293823155?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/c453c0b3ly8hlz2awu8kuj20u00u0gnr.jpg?KID=imgbed,tva&Expires=1765228011&ssig=SoRCmFTDvb",张雪峰 专业
5.24167E+15,#张雪峰复播后仍污言秽语#你让太多的人眼红了，又让太多的人清醒了，不封你封谁？如果没有你，高校的日子多好过啊，那些冷门专业，搞到现在都没有人报了，教育部取消专业都忙不过来了。你叫那些靠冷门专业的专家学者教授怎么混日子？不得不靠搞女拳、女权、伪史、动保养家糊口。不得不靠境外势力给 ...全文,1765224689,2025-12-08 20:11:29+08:00,0,0,0,1.76522E+12,https://m.weibo.cn/detail/5241673828278050,广东,7512506690,春草一枚香,m,https://m.weibo.cn/u/7512506690?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.132.132.180/008cpIaKly4gjnh9q1bpkj303o03o3yb.jpg?KID=imgbed,tva&Expires=1765228011&ssig=0PO1UnOZMe",张雪峰 专业
5.24162E+15,如何评价张雪峰？？刚看一期视频，连线指导一个想让孩子留在当地的家长填报志愿，让她去看当地政府的工作报告，结合未来的发展方向，选择专业。另外一个视频，他开导一个意外致残导致心理问题的女高中生，说着说着就沉默了几十秒，然后哽咽着说&quot;要强的人都是很艰难的”，劝女生放过自己好好生活，那 ...全文,1765211677,2025-12-08 16:34:37+08:00,8,0,0,1.76522E+12,https://m.weibo.cn/detail/5241619252513950,浙江,7810882899,西梅鉴茶师,f,https://m.weibo.cn/u/7810882899?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/008wBFsfly8i6yveqvyyjj30u00u0q50.jpg?KID=imgbed,tva&Expires=1765228011&ssig=viNIVK%2BnUz",张雪峰 专业
5.24159E+15,张雪峰  奥赛学霸连麦问人生规划，张雪峰又掏心窝子了#视频百亿流量扶持计划##中长视频流量扶持计划# 小龙说世界的微博视频 ,1765205371,2025-12-08 14:49:31+08:00,9,2,3,1.76522E+12,https://m.weibo.cn/detail/5241592804017464,广东,7821067086,小龙说世界,m,https://m.weibo.cn/u/7821067086?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.240.240.180/008xioPkly8hwyu8ynwuxj306o06o3yi.jpg?KID=imgbed,tva&Expires=1765228011&ssig=HfsOrakA6O",张雪峰 专业
5.24159E+15,【#张雪峰新公司叫在田图书#】#张雪峰在河南投资成立新公司#12月8日，纵览新闻记者在企查查平台查询到，近日，河南在田图书有限公司成立，法定代表人为武亮，注册资本500万人民币，经营范围包括出版物零售、出版物批发、出版物印刷等，由张雪峰（张子彪）全资持股的苏州峰阅万卷文化图书有限公司、河南 ...全文,1765204562,2025-12-08 14:36:02+08:00,7,0,0,1.76522E+12,https://m.weibo.cn/detail/5241589408730248,,1738004582,纵览新闻,m,https://m.weibo.cn/u/1738004582?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.600.600.180/001TCunYly8i3133h6qooj60go0gowfh02.jpg?KID=imgbed,tva&Expires=1765228011&ssig=QRbV5cpjMM",张雪峰 专业
5.24159E+15,不只是计算机专业裁员，只是它易被报道而已，张雪峰🧑🏫太懂新闻学了！#张雪峰##一分钟视频创作季##教育观点##升学规划# 卿心荡漾的微博视频 ,1765204362,2025-12-08 14:32:42+08:00,1,0,1,1.76522E+12,https://m.weibo.cn/detail/5241588569606617,广东,6443154312,卿心荡漾,f,https://m.weibo.cn/u/6443154312?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.700.700.180/00722OLKly8i3992eoj9tj30jg0jg3za.jpg?KID=imgbed,tva&Expires=1765228011&ssig=n1prr%2BBY9g",张雪峰 专业
